Basis set,Reference,Target,APDFT$n$,Bond length,"$|\Delta ho|$",$E^{	ext{APDFT}}$,$ E^{	ext{T[R]}}$,$E^{	ext{CCSD}}$,$|\Delta E_{	ext{APDFT}}|$,$\Delta E_{	ext{trunc}}$,$\Delta E_{	ext{BS}}$
def2-QZVPP,HAl,HeMg,1,1.3,3.752170061279352,-198.2984167525579,-200.913465904463,-200.942816164436,2.644399411878112,2.6150491519051116,0.029350259973000448
def2-QZVPP,HAl,HeMg,2,1.3,3.752170061279352,-200.80395848872638,-200.913465904463,-200.942816164436,0.13885767570963026,0.10950741573662981,0.029350259973000448
def2-QZVPP,HAl,HeMg,3,1.3,3.752170061279352,-200.93066161076734,-200.913465904463,-200.942816164436,0.012154553668665358,-0.01719570630433509,0.029350259973000448
def2-QZVPP,HAl,HeMg,4,1.3,3.752170061279352,-200.92932212289804,-200.913465904463,-200.942816164436,0.013494041537967405,-0.015856218435033043,0.029350259973000448
def2-QZVPP,HAl,HeMg,5,1.3,3.752170061279352,-200.9172330309557,-200.913465904463,-200.942816164436,0.025583133480296283,-0.0037671264927041648,0.029350259973000448
def2-QZVPP,HAl,HeMg,1,1.4000000000000001,3.805920087998846,-198.60250453521445,-201.255534507294,-201.283386252001,2.6808817167865584,2.653029972079537,0.027851744707021453
def2-QZVPP,HAl,HeMg,2,1.4000000000000001,3.805920087998846,-201.15090608443646,-201.255534507294,-201.283386252001,0.13248016756455172,0.10462842285753027,0.027851744707021453
def2-QZVPP,HAl,HeMg,3,1.4000000000000001,3.805920087998846,-201.27787421685576,-201.255534507294,-201.283386252001,0.005512035145244454,-0.022339709561777,0.027851744707021453
def2-QZVPP,HAl,HeMg,4,1.4000000000000001,3.805920087998846,-201.2707506573933,-201.255534507294,-201.283386252001,0.01263559460770125,-0.015216150099320203,0.027851744707021453
def2-QZVPP,HAl,HeMg,5,1.4000000000000001,3.805920087998846,-201.25795913665064,-201.255534507294,-201.283386252001,0.025427115350368013,-0.0024246293566534405,0.027851744707021453
def2-QZVPP,HAl,HeMg,1,1.5,3.825184377343564,-198.84375351126548,-201.523941506864,-201.551065748643,2.707312237377522,2.6801879955985157,0.027124241779006297
def2-QZVPP,HAl,HeMg,2,1.5,3.825184377343564,-201.42383274806053,-201.523941506864,-201.551065748643,0.12723300058246423,0.10010875880345793,0.027124241779006297
