Basis set,Reference,Target,APDFT$n$,Bond length,"$|\Delta ho|$",$E^{	ext{APDFT}}$,$ E^{	ext{T[R]}}$,$E^{	ext{CCSD}}$,$|\Delta E_{	ext{APDFT}}|$,$\Delta E_{	ext{trunc}}$,$\Delta E_{	ext{BS}}$
cc-pVTZ,HAl,HeMg,1,1.3,3.7622049815042606,-198.2698079652334,-199.870264039027,-200.900670234441,2.630862269207597,1.6004560737935947,1.0304061954140025
cc-pVTZ,HAl,HeMg,2,1.3,3.7622049815042606,-199.69126847806862,-199.870264039027,-200.900670234441,1.2094017563723867,0.1789955609583842,1.0304061954140025
cc-pVTZ,HAl,HeMg,3,1.3,3.7622049815042606,-199.89730875614197,-199.870264039027,-200.900670234441,1.0033614782990412,-0.02704471711496126,1.0304061954140025
cc-pVTZ,HAl,HeMg,4,1.3,3.7622049815042606,-199.8887649644034,-199.870264039027,-200.900670234441,1.0119052700376017,-0.0185009253764008,1.0304061954140025
cc-pVTZ,HAl,HeMg,5,1.3,3.7622049815042606,-199.87098653236987,-199.870264039027,-200.900670234441,1.0296837020711394,-0.0007224933428631175,1.0304061954140025
cc-pVTZ,HAl,HeMg,1,1.4000000000000001,3.808823632315253,-198.57718195195127,-200.209333895976,-201.249023898555,2.6718419466037346,1.632151944024713,1.0396900025790217
cc-pVTZ,HAl,HeMg,2,1.4000000000000001,3.808823632315253,-200.0356035892382,-200.209333895976,-201.249023898555,1.2134203093168026,0.1737303067377809,1.0396900025790217
cc-pVTZ,HAl,HeMg,3,1.4000000000000001,3.808823632315253,-200.2429542871051,-200.209333895976,-201.249023898555,1.0060696114499024,-0.0336203911291193,1.0396900025790217
cc-pVTZ,HAl,HeMg,4,1.4000000000000001,3.808823632315253,-200.22672974873169,-200.209333895976,-201.249023898555,1.022294149823324,-0.01739585275569766,1.0396900025790217
cc-pVTZ,HAl,HeMg,5,1.4000000000000001,3.808823632315253,-200.20837442302863,-200.209333895976,-201.249023898555,1.0406494755263793,0.0009594729473576535,1.0396900025790217
cc-pVTZ,HAl,HeMg,1,1.5,3.82601394179769,-198.8211323167409,-200.473963533771,-201.523737954966,2.7026056382251227,1.6528312170301263,1.0497744211949964
cc-pVTZ,HAl,HeMg,2,1.5,3.82601394179769,-200.30544758716553,-200.473963533771,-201.523737954966,1.2182903678004777,0.1685159466054813,1.0497744211949964
cc-pVTZ,HAl,HeMg,3,1.5,3.82601394179769,-200.51156878880693,-200.473963533771,-201.523737954966,1.012169166159083,-0.03760525503591339,1.0497744211949964
cc-pVTZ,HAl,HeMg,4,1.5,3.82601394179769,-200.4899237432992,-200.473963533771,-201.523737954966,1.0338142116668223,-0.01596020952817412,1.0497744211949964
cc-pVTZ,HAl,HeMg,5,1.5,3.82601394179769,-200.47207643162704,-200.473963533771,-201.523737954966,1.0516615233389643,0.0018871021439679225,1.0497744211949964
